symbol,symbol_1,symbol_2,ranking_stat,avg_adf,avg_freq,industry_1,industry_2,sector_1,sector_2
BLK-JEC,BLK,JEC,68.40137437776406,0.21365107850340442,6.6399999999999997,Diversified Financial Services,Industrial Conglomerates,Financials,Industrials
AIZ-IFF,AIZ,IFF,68.36892290588418,0.20045476482973934,6.4800000000000004,Multi-line Insurance,Specialty Chemicals,Financials,Materials
CTAS-PNC,CTAS,PNC,68.35091596713808,0.23191536806252017,6.4800000000000004,Diversified Commercial Services,Banks,Industrials,Financials
AZO-SRCL,AZO,SRCL,68.30987659450122,0.26370022726879538,6.8799999999999999,Specialty Stores,Industrial Conglomerates,Consumer Discretionary,Industrials
CTAS-ROST,CTAS,ROST,68.25951559774764,0.2029121226394395,7.2000000000000002,Diversified Commercial Services,Apparel Retail,Industrials,Consumer Discretionary
GWW-JWN,GWW,JWN,68.22747851504536,0.15922960659396806,6.8799999999999999,Industrial Materials,Department Stores,Industrials,Consumer Discretionary
FRX-VRTX,FRX,VRTX,68.20829085895882,0.13576476117327352,6.7599999999999998,Pharmaceuticals,Biotechnology,Health Care,Health Care
CNP-VAR,CNP,VAR,68.08609942096204,0.20886163556815895,6.4000000000000004,Multi-Utilities & Unregulated Power,Health Care Equipment & Services,Utilities,Health Care
AZO-IFF,AZO,IFF,68.05861835301118,0.14050212695680694,7.1600000000000001,Specialty Stores,Specialty Chemicals,Consumer Discretionary,Materials
PNC-ROP,PNC,ROP,68.02980373913107,0.24776200895511824,6.4800000000000004,Banks,Industrial Conglomerates,Financials,Industrials
BDX-BF.B,BDX,BF.B,68.02789822950443,0.2033157337657191,7.0,Health Care Equipment & Services,Distillers & Vintners,Health Care,Consumer Staples
CINF-GWW,CINF,GWW,67.99381317400642,0.20732387051240203,6.8399999999999999,Property & Casualty Insurance,Industrial Materials,Financials,Industrials
HON-SRCL,HON,SRCL,67.98881538738928,0.324235846694512,7.0,Industrial Conglomerates,Industrial Conglomerates,Industrials,Industrials
AME-ROP,AME,ROP,67.97148778905544,0.19628395423428482,6.8399999999999999,Electrical Components and Equipment,Industrial Conglomerates,Industrials,Industrials
PPG-TMO,PPG,TMO,67.9658534660916,0.20081914573543316,6.4400000000000004,Diversified Chemicals,Health Care Equipment & Services,Materials,Health Care
CMG-PPG,CMG,PPG,67.94757172756934,0.13835081247908543,6.2800000000000002,Restaurants,Diversified Chemicals,Consumer Discretionary,Materials
DRI-IFF,DRI,IFF,67.94350571208862,0.25163517382216666,6.1600000000000001,Restaurants,Specialty Chemicals,Consumer Discretionary,Materials
