symbol,symbol_1,symbol_2,ranking_stat,avg_adf,avg_freq,volume,industry_1,industry_2,sector_1,sector_2
AMP-VMC,AMP,VMC,61.786373855830476,0.11760202607463917,6.1200000000000001,414910.0,Diversified Financial Services,Construction Materials,Financials,Materials
KLAC-VMC,KLAC,VMC,61.74087330611197,0.16405617293549318,6.0800000000000001,414910.0,Semiconductor Equipment,Construction Materials,Information Technology,Materials
DFS-SHW,DFS,SHW,61.73505706498522,0.25572645854249965,5.8799999999999999,209423.0,Consumer Finance,Specialty Chemicals,Financials,Materials
AXP-SIAL,AXP,SIAL,61.73300093579042,0.23000792069939829,7.5199999999999996,249591.0,Consumer Finance,Diversified Chemicals,Financials,Materials
EMN-ORLY,EMN,ORLY,61.72747310214256,0.16366570920086357,6.3200000000000003,282365.0,Diversified Chemicals,Specialty Stores,Materials,Consumer Discretionary
LSI-ROK,LSI,ROK,61.72519511271315,0.21120304746881391,6.6799999999999997,294440.0,Semiconductors,Industrial Conglomerates,Information Technology,Industrials
NTRS-VAR,NTRS,VAR,61.7210912979514,0.17904388332331408,5.6399999999999997,214599.0,Diversified Financial Services,Health Care Equipment & Services,Financials,Health Care
DNB-EBAY,DNB,EBAY,61.71669660879108,0.21918315302302863,6.1600000000000001,201874.0,Data Processing Services,Internet Software & Services,Industrials,Information Technology
FDX-JEC,FDX,JEC,61.71122809212782,0.20068127103514594,6.2800000000000002,302781.0,Air Freight & Logistics,Industrial Conglomerates,Industrials,Industrials
VAR-VMC,VAR,VMC,61.705867604008965,0.18967484077383323,6.6799999999999997,214599.0,Health Care Equipment & Services,Construction Materials,Health Care,Materials
FITB-PLL,FITB,PLL,61.69599488078241,0.11881884726249735,6.0800000000000001,280485.0,Banks,Industrial Conglomerates,Financials,Industrials
MTB-WIN,MTB,WIN,61.6813131297516,0.25569433440819284,5.96,258563.0,Banks,Integrated Telecommunications Services,Financials,Telecommunications Services
PETM-R,PETM,R,61.67184941664691,0.21180631944291836,6.0,190686.0,Specialty Stores,Industrial Conglomerates,Consumer Discretionary,Industrials
DRI-MTB,DRI,MTB,61.66988151816305,0.22392102958627597,5.7999999999999998,258563.0,Restaurants,Banks,Consumer Discretionary,Financials
AME-SIAL,AME,SIAL,61.65093895943474,0.21278614828185419,7.2400000000000002,234171.0,Electrical Components and Equipment,Diversified Chemicals,Industrials,Materials
FAST-TMK,FAST,TMK,61.648809597778765,0.1960230445536662,6.7999999999999998,153397.0,Building Products,Life & Health Insurance,Industrials,Financials
CTAS-R,CTAS,R,61.648651300904035,0.27789610788223773,6.5999999999999996,190686.0,Diversified Commercial Services,Industrial Conglomerates,Industrials,Industrials
FISV-GWW,FISV,GWW,61.63089853688699,0.21974296249015862,6.5199999999999996,180537.0,Internet Software & Services,Industrial Materials,Information Technology,Industrials
CMA-VAR,CMA,VAR,61.62600600730123,0.18416600626035431,5.8399999999999999,214599.0,Banks,Health Care Equipment & Services,Financials,Health Care
KMI-TEG,KMI,TEG,61.62101870770762,0.21650172328548603,5.8399999999999999,160270.0,Oil & Gas Refining & Marketing & Transportation,Gas Utilities,Energy,Utilities
CMA-TMK,CMA,TMK,61.61094444909567,0.28837416308891101,6.4800000000000004,153397.0,Banks,Life & Health Insurance,Financials,Financials
EMR-IFF,EMR,IFF,61.606331649973335,0.18180663741346323,6.8399999999999999,164880.0,Industrial Conglomerates,Specialty Chemicals,Industrials,Materials
BDX-GPC,BDX,GPC,61.591596316493096,0.21326034993917065,6.5199999999999996,283011.0,Health Care Equipment & Services,Specialty Stores,Health Care,Consumer Discretionary
ALL-AZO,ALL,AZO,61.56406348145074,0.171080152360198,6.7599999999999998,90678.0,Property & Casualty Insurance,Specialty Stores,Financials,Consumer Discretionary
AIZ-PM,AIZ,PM,61.559303824703015,0.24823302179233558,6.1200000000000001,212123.0,Multi-line Insurance,Tobacco,Financials,Consumer Staples
GPC-TEG,GPC,TEG,61.55747661417098,0.21797199586759441,6.2400000000000002,160270.0,Specialty Stores,Gas Utilities,Consumer Discretionary,Utilities
EFX-GRMN,EFX,GRMN,61.55472428817904,0.16467635726608884,6.7199999999999998,204041.0,Diversified Financial Services,Consumer Electronics,Financials,Consumer Discretionary
HON-ROP,HON,ROP,61.55354242047426,0.24357932844067182,6.5999999999999996,143471.0,Industrial Conglomerates,Industrial Conglomerates,Industrials,Industrials
KMB-TEG,KMB,TEG,61.55329905503046,0.29004021804408231,6.7199999999999998,160270.0,Household Products,Gas Utilities,Consumer Staples,Utilities
BK-ROP,BK,ROP,61.54957228647722,0.20481911766568175,6.2000000000000002,143471.0,Banks,Industrial Conglomerates,Financials,Industrials
CTAS-KORS,CTAS,KORS,61.539032606189764,0.22021524886777091,6.2000000000000002,288647.0,Diversified Commercial Services,"Apparel, Accessories & Luxury Goods",Industrials,Consumer Discretionary
CTAS-PRGO,CTAS,PRGO,61.53654042307212,0.24951985103003757,6.5199999999999996,288647.0,Diversified Commercial Services,Pharmaceuticals,Industrials,Health Care
R-SRCL,R,SRCL,61.514386541957734,0.25222429172371874,7.0,177809.0,Industrial Conglomerates,Industrial Conglomerates,Industrials,Industrials
HOT-SHW,HOT,SHW,61.51300032163943,0.1778608469471504,6.1600000000000001,209423.0,"Hotels, Resorts & Cruise Lines",Specialty Chemicals,Consumer Discretionary,Materials
AZO-D,AZO,D,61.507867910306686,0.25144885983941473,6.1600000000000001,90678.0,Specialty Stores,Multi-Utilities & Unregulated Power,Consumer Discretionary,Utilities
KLAC-ROP,KLAC,ROP,61.506731190106464,0.1691969362083193,6.3600000000000003,143471.0,Semiconductor Equipment,Industrial Conglomerates,Information Technology,Industrials
HRS-SNI,HRS,SNI,61.50218709600225,0.23396770089912786,6.7199999999999998,185985.0,Telecommunications Equipment,Broadcasting & Cable TV,Information Technology,Consumer Discretionary
PCP-SRE,PCP,SRE,61.46584210717882,0.23638653434202772,6.04,301224.0,Industrial Conglomerates,Multi-Utilities & Unregulated Power,Industrials,Utilities
AZO-NU,AZO,NU,61.45887431472819,0.2225287319003402,6.3200000000000003,90678.0,Specialty Stores,Multi-Utilities & Unregulated Power,Consumer Discretionary,Utilities
AIZ-RAI,AIZ,RAI,61.44890207940089,0.22563364182099047,5.5199999999999996,212123.0,Multi-line Insurance,Tobacco,Financials,Consumer Staples
FLS-SHW,FLS,SHW,61.42624200505303,0.18186879424156902,6.3200000000000003,209423.0,Industrial Machinery,Specialty Chemicals,Industrials,Materials
PRGO-SNA,PRGO,SNA,61.418249823051575,0.20602234095383221,6.6799999999999997,69926.0,Pharmaceuticals,Household Appliances,Health Care,Consumer Discretionary
SNA-XYL,SNA,XYL,61.41615513648718,0.26858476295961747,7.1200000000000001,0,Household Appliances,Industrial Conglomerates,Consumer Discretionary,Industrials
IFF-ZMH,IFF,ZMH,61.407087740492976,0.20639304845294645,6.1600000000000001,164880.0,Specialty Chemicals,Health Care Equipment & Services,Materials,Health Care
PDCO-WAT,PDCO,WAT,61.40222796042411,0.2808348709536308,6.5199999999999996,171164.0,Health Care Supplies,Health Care Distributors & Services,Health Care,Health Care
NE-SNA,NE,SNA,61.40033030021573,0.25843783493905315,5.4800000000000004,69926.0,Oil & Gas Drilling,Household Appliances,Energy,Consumer Discretionary
SRCL-VMC,SRCL,VMC,61.39832091420041,0.13825354139989215,6.5199999999999996,177809.0,Industrial Conglomerates,Construction Materials,Industrials,Materials
BDX-VAR,BDX,VAR,61.38683035624771,0.1853828569399234,6.0800000000000001,214599.0,Health Care Equipment & Services,Health Care Equipment & Services,Health Care,Health Care
IRM-NTAP,IRM,NTAP,61.37795027774321,0.16260514895433123,6.2800000000000002,547866.0,Data Processing Services,Internet Software & Services,Industrials,Information Technology
AIZ-NUE,AIZ,NUE,61.377236727499046,0.19743960734355467,5.4400000000000004,212123.0,Multi-line Insurance,Steel,Financials,Materials
BCR-CTAS,BCR,CTAS,61.37629270983817,0.24194993911177551,6.4400000000000004,288647.0,Health Care Equipment & Services,Diversified Commercial Services,Health Care,Industrials
ROP-SIAL,ROP,SIAL,61.373937274005854,0.20235317220202018,6.7199999999999998,143471.0,Industrial Conglomerates,Diversified Chemicals,Industrials,Materials
KSU-TEG,KSU,TEG,61.373756838475,0.2680617368597164,5.6399999999999997,160270.0,Railroads,Gas Utilities,Industrials,Utilities
PPG-SRCL,PPG,SRCL,61.373492949647606,0.30677329025424854,7.5199999999999996,177809.0,Diversified Chemicals,Industrial Conglomerates,Materials,Industrials
HOG-HRS,HOG,HRS,61.36889953939478,0.16402068861199789,6.4000000000000004,185985.0,Motorcycle Manufacturers,Telecommunications Equipment,Consumer Discretionary,Information Technology
GWW-PH,GWW,PH,61.36317596302786,0.21898145601741473,7.04,180537.0,Industrial Materials,Industrial Conglomerates,Industrials,Industrials
GPC-L,GPC,L,61.357057952954406,0.23001413844008886,6.4400000000000004,283011.0,Specialty Stores,Multi-Sector Holdings,Consumer Discretionary,Financials
APH-FMC,APH,FMC,61.35509467777179,0.19510217023452314,6.2000000000000002,195605.0,Electrical Components & Equipment,Diversified Chemicals,Industrials,Materials
AVY-FLS,AVY,FLS,61.34518400706119,0.2013892663361192,6.0,235936.0,Paper Packaging,Industrial Machinery,Materials,Industrials
EMR-MAC,EMR,MAC,61.33968765279061,0.30914022727147938,6.0800000000000001,309305.0,Industrial Conglomerates,Retail REITs,Industrials,Financials
ATI-EXPD,ATI,EXPD,61.31745464805127,0.18202501308828206,5.5599999999999996,588038.0,Diversified Metals & Mining,Air Freight & Logistics,Materials,Industrials
COL-GPC,COL,GPC,61.313226797163736,0.24249792070385875,6.9199999999999999,226503.0,Industrial Conglomerates,Specialty Stores,Industrials,Consumer Discretionary
CMG-MTB,CMG,MTB,61.310721221859936,0.21771384281182499,6.0,124536.0,Restaurants,Banks,Consumer Discretionary,Financials
PCP-SYY,PCP,SYY,61.30229652115048,0.2340886015119768,6.4800000000000004,301224.0,Industrial Conglomerates,Food Distributors,Industrials,Consumer Staples
RSG-SRCL,RSG,SRCL,61.28805984309376,0.18837398952294276,5.8399999999999999,177809.0,Industrial Conglomerates,Industrial Conglomerates,Industrials,Industrials
AZO-TMK,AZO,TMK,61.2869628686996,0.14536758794576812,6.6799999999999997,90678.0,Specialty Stores,Life & Health Insurance,Consumer Discretionary,Financials
BXP-CMS,BXP,CMS,61.27255901354903,0.26250981263487771,6.3200000000000003,331397.0,REITs,Multi-Utilities & Unregulated Power,Financials,Utilities
BF.B-LLL,BF.B,LLL,61.25602291884007,0.26742973959752475,6.5199999999999996,222375.0,Distillers & Vintners,Industrial Conglomerates,Consumer Staples,Industrials
HAR-LEN,HAR,LEN,61.25388342881314,0.11894292481876746,6.3200000000000003,345226.0,Consumer Electronics,Homebuilding,Consumer Discretionary,Consumer Discretionary
APH-EFX,APH,EFX,61.233500215210135,0.17990091646863127,6.7599999999999998,195605.0,Electrical Components & Equipment,Diversified Financial Services,Industrials,Financials
CELG-CERN,CELG,CERN,61.2166087040666,0.20534159425369888,5.5599999999999996,745856.0,Biotechnology,Health Care Distributors & Services,Health Care,Health Care
CMI-VAR,CMI,VAR,61.20918437864405,0.18120162797891037,6.04,214599.0,Industrial Machinery,Health Care Equipment & Services,Industrials,Health Care
AIZ-NTRS,AIZ,NTRS,61.20058864113978,0.22652608005362015,6.0,212123.0,Multi-line Insurance,Diversified Financial Services,Financials,Financials
BBBY-VAR,BBBY,VAR,61.187523024209774,0.14687751766847248,6.0800000000000001,214599.0,Specialty Stores,Health Care Equipment & Services,Consumer Discretionary,Health Care
ARG-PCP,ARG,PCP,61.185225607426354,0.30874372232353275,6.96,143916.0,Industrial Gases,Industrial Conglomerates,Materials,Industrials
HBAN-KEY,HBAN,KEY,61.183913590436326,0.080125179576603908,6.1600000000000001,4615011.0,Banks,Banks,Financials,Financials
JCI-SIAL,JCI,SIAL,61.170017423537146,0.20997003570346945,6.0,249591.0,Auto Parts & Equipment,Diversified Chemicals,Consumer Discretionary,Materials
HAS-VMC,HAS,VMC,61.16641216428607,0.19237255934170686,6.4000000000000004,414910.0,Leisure Products,Construction Materials,Consumer Discretionary,Materials
BWA-VAR,BWA,VAR,61.153249358554426,0.22609246800813218,5.7599999999999998,214599.0,Auto Parts & Equipment,Health Care Equipment & Services,Consumer Discretionary,Health Care
BRCM-PDCO,BRCM,PDCO,61.14276652785162,0.22894908388072172,5.7599999999999998,274041.0,Semiconductors,Health Care Supplies,Information Technology,Health Care
COF-ROP,COF,ROP,61.1349908303023,0.28831768182145806,6.2000000000000002,143471.0,Consumer Finance,Industrial Conglomerates,Financials,Industrials
PKI-R,PKI,R,61.13354961010337,0.23645671386675254,6.6799999999999997,190686.0,Health Care Equipment & Services,Industrial Conglomerates,Health Care,Industrials
EBAY-R,EBAY,R,61.13102896910834,0.1998474170152259,7.04,190686.0,Internet Software & Services,Industrial Conglomerates,Information Technology,Industrials
AME-PLL,AME,PLL,61.128928985130244,0.24601801729386374,6.4000000000000004,234171.0,Electrical Components and Equipment,Industrial Conglomerates,Industrials,Industrials
CSC-EFX,CSC,EFX,61.11989280267796,0.25499442872966732,6.7199999999999998,204041.0,IT Consulting & Services,Diversified Financial Services,Information Technology,Financials
EBAY-SHW,EBAY,SHW,61.10745050640355,0.23207965608864803,6.5199999999999996,209423.0,Internet Software & Services,Specialty Chemicals,Information Technology,Materials
AIZ-ATI,AIZ,ATI,61.10280920175554,0.23598987252179046,5.2000000000000002,212123.0,Multi-line Insurance,Diversified Metals & Mining,Financials,Materials
CINF-DOV,CINF,DOV,61.08397806745309,0.28711946976056174,6.4000000000000004,193686.0,Property & Casualty Insurance,Industrial Machinery,Financials,Industrials
ARG-TEG,ARG,TEG,61.08166955511481,0.27621506202483997,6.7999999999999998,143916.0,Industrial Gases,Gas Utilities,Materials,Utilities
ECL-JEC,ECL,JEC,61.07665056664967,0.24714071966164794,6.1600000000000001,302781.0,Specialty Chemicals,Industrial Conglomerates,Materials,Industrials
ALLE-MPC,ALLE,MPC,61.07015715272457,0.16885063181556428,6.7199999999999998,272860.0,Building Products,Oil & Gas Refining & Marketing & Transportation,Industrials,Energy
ROP-WMT,ROP,WMT,61.05365497171094,0.21196056971857322,6.2000000000000002,143471.0,Industrial Conglomerates,Hypermarkets & Super Centers,Industrials,Consumer Staples
FDX-SRCL,FDX,SRCL,61.05303073421916,0.19671439062568094,6.2400000000000002,177809.0,Air Freight & Logistics,Industrial Conglomerates,Industrials,Industrials
CTAS-PKI,CTAS,PKI,61.0482416563031,0.21482998841879669,6.2800000000000002,288647.0,Diversified Commercial Services,Health Care Equipment & Services,Industrials,Health Care
AIZ-INTU,AIZ,INTU,61.041453845861994,0.1647227476864411,6.5999999999999996,212123.0,Multi-line Insurance,Internet Software & Services,Financials,Information Technology
SHW-SWK,SHW,SWK,61.029341451928296,0.20349769743520527,6.0800000000000001,209423.0,Specialty Chemicals,Household Appliances,Materials,Consumer Discretionary
IRM-VAR,IRM,VAR,61.00572676916895,0.26109385038050692,6.2400000000000002,214599.0,Data Processing Services,Health Care Equipment & Services,Industrials,Health Care
NTRS-ROP,NTRS,ROP,60.99655948312549,0.24979338917245336,5.6399999999999997,143471.0,Diversified Financial Services,Industrial Conglomerates,Financials,Industrials
CTAS-MAR,CTAS,MAR,60.98138107763387,0.18060559126392264,6.4000000000000004,288647.0,Diversified Commercial Services,"Hotels, Resorts & Cruise Lines",Industrials,Consumer Discretionary
CTAS-RL,CTAS,RL,60.981311132789045,0.21099046095972845,7.04,288647.0,Diversified Commercial Services,"Apparel, Accessories & Luxury Goods",Industrials,Consumer Discretionary
FDX-ROP,FDX,ROP,60.97936820594218,0.2011690434059345,6.3200000000000003,143471.0,Air Freight & Logistics,Industrial Conglomerates,Industrials,Industrials
AIZ-NI,AIZ,NI,60.97918791654691,0.22516235368614843,6.2800000000000002,212123.0,Multi-line Insurance,Multi-Utilities & Unregulated Power,Financials,Utilities
PLL-PPG,PLL,PPG,60.97918204527821,0.28889328466560654,7.3200000000000003,280485.0,Industrial Conglomerates,Diversified Chemicals,Industrials,Materials
GWW-PX,GWW,PX,60.974194096508384,0.26741206600867995,6.2000000000000002,180537.0,Industrial Materials,Industrial Gases,Industrials,Materials
APH-ROP,APH,ROP,60.965164345317206,0.31352439073615518,6.5199999999999996,143471.0,Electrical Components & Equipment,Industrial Conglomerates,Industrials,Industrials
MDLZ-SHW,MDLZ,SHW,60.95965365951572,0.18419147966207039,7.1200000000000001,209423.0,Packaged Foods & Meats,Specialty Chemicals,Consumer Staples,Materials
SRCL-TIF,SRCL,TIF,60.95777190711008,0.22627941627993897,5.7199999999999998,177809.0,Industrial Conglomerates,"Apparel, Accessories & Luxury Goods",Industrials,Consumer Discretionary
IGT-MCHP,IGT,MCHP,60.95235758602061,0.23577685924796846,5.1200000000000001,673882.0,Leisure Products,Semiconductors,Consumer Discretionary,Information Technology
AVB-TEG,AVB,TEG,60.95132584837131,0.23416162516295619,6.8399999999999999,160270.0,REITs,Gas Utilities,Financials,Utilities
GE-SNA,GE,SNA,60.93867917417118,0.23574508332619218,7.0800000000000001,0,Industrial Conglomerates,Household Appliances,Industrials,Consumer Discretionary
M-SRCL,M,SRCL,60.938459045589255,0.26095847183787901,5.8799999999999999,177809.0,Department Stores,Industrial Conglomerates,Consumer Discretionary,Industrials
BWA-SRCL,BWA,SRCL,60.93628564584042,0.20704984106481231,5.6799999999999997,177809.0,Auto Parts & Equipment,Industrial Conglomerates,Consumer Discretionary,Industrials
FDX-VMC,FDX,VMC,60.916344557315,0.14057845032989494,6.5999999999999996,414910.0,Air Freight & Logistics,Construction Materials,Industrials,Materials
AMP-HRS,AMP,HRS,60.91532830598846,0.16489990244328381,6.04,185985.0,Diversified Financial Services,Telecommunications Equipment,Financials,Information Technology
AIZ-ETN,AIZ,ETN,60.91309844943423,0.25399202508043611,6.3600000000000003,212123.0,Multi-line Insurance,Industrial Conglomerates,Financials,Industrials
DLPH-SIAL,DLPH,SIAL,60.91084505222807,0.23814451344497795,5.96,249591.0,Auto Parts & Equipment,Diversified Chemicals,Consumer Discretionary,Materials
CTAS-NWL,CTAS,NWL,60.89391230393081,0.27973208181613263,6.2800000000000002,288647.0,Diversified Commercial Services,Housewares & Specialties,Industrials,Consumer Discretionary
GM-PKI,GM,PKI,60.89300580520946,0.24910386758028696,6.1200000000000001,323695.0,Automobile Manufacturers,Health Care Equipment & Services,Consumer Discretionary,Health Care
CTAS-FAST,CTAS,FAST,60.88087068230646,0.1756015353764325,6.1600000000000001,288647.0,Diversified Commercial Services,Building Products,Industrials,Industrials
BDX-WAT,BDX,WAT,60.86008677165345,0.20218765579866119,7.0,171164.0,Health Care Equipment & Services,Health Care Distributors & Services,Health Care,Health Care
JEC-ORLY,JEC,ORLY,60.85773379958398,0.15549747014827875,6.7999999999999998,282365.0,Industrial Conglomerates,Specialty Stores,Industrials,Consumer Discretionary
ECL-GPC,ECL,GPC,60.85713762954013,0.19089643852513075,6.1600000000000001,283011.0,Specialty Chemicals,Specialty Stores,Materials,Consumer Discretionary
CINF-TGT,CINF,TGT,60.85399564269007,0.14036064206851748,6.2400000000000002,193686.0,Property & Casualty Insurance,General Merchandise Stores,Financials,Consumer Discretionary
SJM-TGT,SJM,TGT,60.84489127740141,0.205251784372288,5.7999999999999998,288762.0,Packaged Foods & Meats,General Merchandise Stores,Consumer Staples,Consumer Discretionary
CTAS-STJ,CTAS,STJ,60.843576124344544,0.20442995470787967,6.2000000000000002,288647.0,Diversified Commercial Services,Health Care Equipment & Services,Industrials,Health Care
AZO-CF,AZO,CF,60.83397938892871,0.24502991461275619,6.5999999999999996,90678.0,Specialty Stores,Fertilizers & Agricultural Chemicals,Consumer Discretionary,Materials
HRS-SHW,HRS,SHW,60.8148925411816,0.20309299691188673,7.4800000000000004,185985.0,Telecommunications Equipment,Specialty Chemicals,Information Technology,Materials
CTAS-EFX,CTAS,EFX,60.81339835219849,0.26164407596110872,6.7599999999999998,204041.0,Diversified Commercial Services,Diversified Financial Services,Industrials,Financials
DG-VAR,DG,VAR,60.812202400416695,0.21208345698898462,6.4400000000000004,214599.0,General Merchandise Stores,Health Care Equipment & Services,Consumer Discretionary,Health Care
BRCM-ROP,BRCM,ROP,60.80779057675568,0.17559055538530388,5.7199999999999998,143471.0,Semiconductors,Industrial Conglomerates,Information Technology,Industrials
KLAC-R,KLAC,R,60.80462041657406,0.15842355984162121,6.4800000000000004,190686.0,Semiconductor Equipment,Industrial Conglomerates,Information Technology,Industrials
DNB-PSX,DNB,PSX,60.8016708428801,0.26779895018059463,6.04,201874.0,Data Processing Services,Oil & Gas Refining & Marketing & Transportation,Industrials,Energy
PETM-ROP,PETM,ROP,60.798773429768445,0.24181683972464746,6.5999999999999996,143471.0,Specialty Stores,Industrial Conglomerates,Consumer Discretionary,Industrials
CF-CHRW,CF,CHRW,60.79809019477829,0.24733272865944719,6.2400000000000002,323575.0,Fertilizers & Agricultural Chemicals,Air Freight & Logistics,Materials,Industrials
AIZ-SE,AIZ,SE,60.794138185488926,0.16636150409713013,5.7999999999999998,212123.0,Multi-line Insurance,Oil & Gas Refining & Marketing & Transportation,Financials,Energy
COL-MTB,COL,MTB,60.789690766050995,0.24107341781309122,6.6399999999999997,226503.0,Industrial Conglomerates,Banks,Industrials,Financials
COL-DNB,COL,DNB,60.77907676126664,0.25931355792896499,6.4800000000000004,201874.0,Industrial Conglomerates,Data Processing Services,Industrials,Industrials
HCBK-TRIP,HCBK,TRIP,60.755003815052355,0.15638280895757783,6.0,829825.0,Banks,Internet Retail,Financials,Consumer Discretionary
HRS-SLM,HRS,SLM,60.75434973031554,0.13772993194045069,6.2400000000000002,185985.0,Telecommunications Equipment,Diversified Financial Services,Information Technology,Financials
PCP-VAR,PCP,VAR,60.72530757017607,0.32754980952914209,6.4000000000000004,214599.0,Industrial Conglomerates,Health Care Equipment & Services,Industrials,Health Care
TAP-VAR,TAP,VAR,60.72455191394764,0.24426213219528797,6.7999999999999998,214599.0,Brewers,Health Care Equipment & Services,Consumer Staples,Health Care
ALL-SIAL,ALL,SIAL,60.720034884284836,0.212076846791936,6.6799999999999997,249591.0,Property & Casualty Insurance,Diversified Chemicals,Financials,Materials
MO-SJM,MO,SJM,60.71051337710856,0.19207569211066658,6.4000000000000004,288762.0,Tobacco,Packaged Foods & Meats,Consumer Staples,Consumer Staples
EFX-PCLN,EFX,PCLN,60.69982749628643,0.25341500801328348,5.8399999999999999,204041.0,Diversified Financial Services,"Hotels, Resorts & Cruise Lines",Financials,Consumer Discretionary
BF.B-SWK,BF.B,SWK,60.69512948545659,0.20506241138004366,6.5999999999999996,222375.0,Distillers & Vintners,Household Appliances,Consumer Staples,Consumer Discretionary
AIZ-FAST,AIZ,FAST,60.694657108701016,0.16729071103261572,6.0,212123.0,Multi-line Insurance,Building Products,Financials,Industrials
DVA-VMC,DVA,VMC,60.69232118687346,0.12735172255708607,6.7199999999999998,338391.0,Health Care Facilities,Construction Materials,Health Care,Materials
ATI-PLL,ATI,PLL,60.691785869273005,0.19586142144627167,5.0800000000000001,280485.0,Diversified Metals & Mining,Industrial Conglomerates,Materials,Industrials
HAR-RL,HAR,RL,60.68665008585695,0.23908349509160626,6.6399999999999997,345226.0,Consumer Electronics,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,Consumer Discretionary
IFF-PLL,IFF,PLL,60.685514607307596,0.27299904411922393,6.0800000000000001,164880.0,Specialty Chemicals,Industrial Conglomerates,Materials,Industrials
AIZ-UTX,AIZ,UTX,60.67914699509933,0.27292919219181555,5.2800000000000002,212123.0,Multi-line Insurance,Industrial Conglomerates,Financials,Industrials
BLL-TSN,BLL,TSN,60.67069704302178,0.19034553811617186,6.2400000000000002,370075.0,Metal & Glass Containers,Packaged Foods & Meats,Materials,Consumer Staples
PCP-SRCL,PCP,SRCL,60.655400614724535,0.35854936537765458,6.9199999999999999,177809.0,Industrial Conglomerates,Industrial Conglomerates,Industrials,Industrials
ABC-CMG,ABC,CMG,60.64579099586682,0.20253925122428046,5.3600000000000003,124536.0,Health Care Distribution & Services,Restaurants,Health Care,Consumer Discretionary
LSI-SIAL,LSI,SIAL,60.64306382240294,0.32363693605140642,7.7199999999999998,249591.0,Semiconductors,Diversified Chemicals,Information Technology,Materials
FOSL-NLSN,FOSL,NLSN,60.63578823236962,0.28430758625387265,5.8799999999999999,230727.0,"Apparel, Accessories & Luxury Goods",Research & Consulting Services,Consumer Discretionary,Industrials
PCP-XRAY,PCP,XRAY,60.635231316051744,0.30220240343580335,6.4400000000000004,301224.0,Industrial Conglomerates,Health Care Supplies,Industrials,Health Care
SHW-SRCL,SHW,SRCL,60.63298926160155,0.27139221710695222,7.0800000000000001,177809.0,Specialty Chemicals,Industrial Conglomerates,Materials,Industrials
KORS-PLL,KORS,PLL,60.63067286288175,0.14889170758365972,6.2800000000000002,280485.0,"Apparel, Accessories & Luxury Goods",Industrial Conglomerates,Consumer Discretionary,Industrials
GPC-ROK,GPC,ROK,60.621635618840436,0.18154217700061007,6.6799999999999997,0,Specialty Stores,Industrial Conglomerates,Consumer Discretionary,Industrials
ADP-SHW,ADP,SHW,60.615551762145195,0.22202713107220895,6.6399999999999997,209423.0,Internet Software & Services,Specialty Chemicals,Information Technology,Materials
AIZ-EIX,AIZ,EIX,60.60339705874538,0.26478268457413801,5.7199999999999998,212123.0,Multi-line Insurance,Multi-Utilities & Unregulated Power,Financials,Utilities
LSI-PNC,LSI,PNC,60.59232422290803,0.27197142007977776,5.7999999999999998,930920.0,Semiconductors,Banks,Information Technology,Financials
ARG-PGR,ARG,PGR,60.5893534873311,0.28128125004020382,6.04,143916.0,Industrial Gases,Property & Casualty Insurance,Materials,Financials
LSI-PSX,LSI,PSX,60.580720789468685,0.24414396948125502,5.5199999999999996,1543743.0,Semiconductors,Oil & Gas Refining & Marketing & Transportation,Information Technology,Energy
CSC-R,CSC,R,60.57977098936141,0.19006252992979189,6.2800000000000002,190686.0,IT Consulting & Services,Industrial Conglomerates,Information Technology,Industrials
FLR-ROP,FLR,ROP,60.57963118742882,0.30932324621355273,6.4800000000000004,143471.0,Diversified Commercial Services,Industrial Conglomerates,Industrials,Industrials
RL-SNA,RL,SNA,60.579023870945775,0.19379975505331462,6.7999999999999998,69926.0,"Apparel, Accessories & Luxury Goods",Household Appliances,Consumer Discretionary,Consumer Discretionary
R-TYC,R,TYC,60.5564471362521,0.22016568719511814,6.5199999999999996,190686.0,Industrial Conglomerates,Industrial Conglomerates,Industrials,Industrials
SHW-TSCO,SHW,TSCO,60.5422554044678,0.19646049512216138,6.2800000000000002,209423.0,Specialty Chemicals,Specialty Retail,Materials,Consumer Discretionary
PAYX-WAT,PAYX,WAT,60.532812159772575,0.24503129031444015,6.5599999999999996,171164.0,Internet Software & Services,Health Care Distributors & Services,Information Technology,Health Care
L-TMK,L,TMK,60.51955542630028,0.27666373505591013,6.4800000000000004,153397.0,Multi-Sector Holdings,Life & Health Insurance,Financials,Financials
HRS-NWL,HRS,NWL,60.51325487956025,0.1719030434871554,6.4000000000000004,185985.0,Telecommunications Equipment,Housewares & Specialties,Information Technology,Consumer Discretionary
HAR-TROW,HAR,TROW,60.5051123842917,0.2322336812809041,6.4800000000000004,345226.0,Consumer Electronics,Diversified Financial Services,Consumer Discretionary,Financials
BRCM-CTAS,BRCM,CTAS,60.50479659422817,0.1830659371824519,5.5599999999999996,288647.0,Semiconductors,Diversified Commercial Services,Information Technology,Industrials
AGN-AIZ,AGN,AIZ,60.49805192346325,0.20997919767993367,5.9199999999999999,212123.0,Pharmaceuticals,Multi-line Insurance,Health Care,Financials
ORLY-PDCO,ORLY,PDCO,60.49590966394986,0.26840620491282707,7.1600000000000001,274041.0,Specialty Stores,Health Care Supplies,Consumer Discretionary,Health Care
