symbol,symbol_1,symbol_2,ranking_stat,avg_adf,avg_freq,volume,industry_1,industry_2,sector_1,sector_2
DOV-ROP,DOV,ROP,75.72616812819946,0.25108681442357927,7.7599999999999998,143471.0,Industrial Machinery,Industrial Conglomerates,Industrials,Industrials
CTAS-SIAL,CTAS,SIAL,75.72529307587752,0.20690916928030284,7.5999999999999996,249591.0,Diversified Commercial Services,Diversified Chemicals,Industrials,Materials
GPC-SIAL,GPC,SIAL,75.717448681684,0.22951548481403261,8.5600000000000005,249591.0,Specialty Stores,Diversified Chemicals,Consumer Discretionary,Materials
CTAS-GAS,CTAS,GAS,75.33166762293453,0.22555608941918259,7.2400000000000002,288647.0,Diversified Commercial Services,Gas Utilities,Industrials,Utilities
EFX-VMC,EFX,VMC,75.17300919929343,0.18266245469611636,7.6799999999999997,204041.0,Diversified Financial Services,Construction Materials,Financials,Materials
AIZ-DOV,AIZ,DOV,75.05938918242731,0.25939636544746164,6.9199999999999999,212123.0,Multi-line Insurance,Industrial Machinery,Financials,Industrials
PPG-SIAL,PPG,SIAL,75.00968477694988,0.1946099481842645,8.0,249591.0,Diversified Chemicals,Diversified Chemicals,Materials,Materials
SPG-TEG,SPG,TEG,74.75577854751707,0.18946407647807642,7.04,160270.0,REITs,Gas Utilities,Financials,Utilities
FDX-GWW,FDX,GWW,74.49564198976421,0.2168571016273447,7.0,180537.0,Air Freight & Logistics,Industrial Materials,Industrials,Industrials
BRCM-SHW,BRCM,SHW,74.39701869782337,0.19678849505950602,6.8399999999999999,209423.0,Semiconductors,Specialty Chemicals,Information Technology,Materials
ECL-SHW,ECL,SHW,74.15247028406876,0.18894999779430538,8.2400000000000002,209423.0,Specialty Chemicals,Specialty Chemicals,Materials,Materials
SJM-SRCL,SJM,SRCL,74.11996407413139,0.27299528193849482,7.5599999999999996,177809.0,Packaged Foods & Meats,Industrial Conglomerates,Consumer Staples,Industrials
BLL-SRCL,BLL,SRCL,74.03408924384003,0.17054292176315322,7.5999999999999996,177809.0,Metal & Glass Containers,Industrial Conglomerates,Materials,Industrials
AZO-UPS,AZO,UPS,73.75169379898902,0.12280866100658723,7.2000000000000002,90678.0,Specialty Stores,Air Freight & Logistics,Consumer Discretionary,Industrials
AIZ-VAR,AIZ,VAR,73.66810930641977,0.12320950418903771,7.2000000000000002,212123.0,Multi-line Insurance,Health Care Equipment & Services,Financials,Health Care
HAS-SHW,HAS,SHW,73.66715198818353,0.20777916021565918,7.2800000000000002,209423.0,Leisure Products,Specialty Chemicals,Consumer Discretionary,Materials
PX-SRCL,PX,SRCL,73.27740012426347,0.27183803231034437,7.5999999999999996,177809.0,Industrial Gases,Industrial Conglomerates,Materials,Industrials
CINF-TEG,CINF,TEG,73.27202121267239,0.16356854717783753,7.2400000000000002,160270.0,Property & Casualty Insurance,Gas Utilities,Financials,Utilities
DISCA-JEC,DISCA,JEC,73.2494456209571,0.16294228127628554,7.4400000000000004,302781.0,Broadcasting & Cable TV,Industrial Conglomerates,Consumer Discretionary,Industrials
ECL-SIAL,ECL,SIAL,73.05650214926582,0.22397142084989322,7.7599999999999998,249591.0,Specialty Chemicals,Diversified Chemicals,Materials,Materials
AAPL-LSI,AAPL,LSI,72.78530507666238,0.26102292699343665,8.1199999999999992,1845386.0,Computer Hardware,Semiconductors,Information Technology,Information Technology
HRS-IRM,HRS,IRM,72.7731267206184,0.19606039558549118,7.3600000000000003,185985.0,Telecommunications Equipment,Data Processing Services,Information Technology,Industrials
JEC-SHW,JEC,SHW,72.7276409230383,0.21954073317746278,7.7199999999999998,209423.0,Industrial Conglomerates,Specialty Chemicals,Industrials,Materials
CTAS-ROP,CTAS,ROP,72.7003437444875,0.17209835698045681,7.3600000000000003,143471.0,Diversified Commercial Services,Industrial Conglomerates,Industrials,Industrials
ARG-SRCL,ARG,SRCL,72.65351436401772,0.27376097169736752,7.4800000000000004,143916.0,Industrial Gases,Industrial Conglomerates,Materials,Industrials
AVY-VAR,AVY,VAR,72.6040741859001,0.1964557496657903,7.2400000000000002,214599.0,Paper Packaging,Health Care Equipment & Services,Materials,Health Care
FAST-ROP,FAST,ROP,72.59911408465393,0.16081206796411723,6.7199999999999998,143471.0,Building Products,Industrial Conglomerates,Industrials,Industrials
AIZ-GWW,AIZ,GWW,72.4908576577124,0.2375095441305034,7.0800000000000001,180537.0,Multi-line Insurance,Industrial Materials,Financials,Industrials
LLL-LMT,LLL,LMT,72.42456372796273,0.1887141959540235,7.4000000000000004,252295.0,Industrial Conglomerates,Aerospace & Defense,Industrials,Industrials
BF.B-GWW,BF.B,GWW,72.40059085959537,0.21457924836328413,7.6799999999999997,180537.0,Distillers & Vintners,Industrial Materials,Consumer Staples,Industrials
ROK-VMC,ROK,VMC,72.21808265937423,0.13243540898351877,7.1600000000000001,294440.0,Industrial Conglomerates,Construction Materials,Industrials,Materials
AZO-PNW,AZO,PNW,72.1239080954782,0.207369976981987,7.0,90678.0,Specialty Stores,Multi-Utilities & Unregulated Power,Consumer Discretionary,Utilities
MON-SRCL,MON,SRCL,72.03583494118777,0.21923485789021752,7.1600000000000001,177809.0,Fertilizers & Agricultural Chemicals,Industrial Conglomerates,Materials,Industrials
LSI-SWY,LSI,SWY,71.98330343244632,0.2799535353068569,7.1200000000000001,1845386.0,Semiconductors,Food Retail,Information Technology,Consumer Staples
MAC-TEG,MAC,TEG,71.92824312858241,0.19631602814667087,7.6399999999999997,160270.0,Retail REITs,Gas Utilities,Financials,Utilities
PEG-TEG,PEG,TEG,71.88816141984952,0.32600695017642373,7.9199999999999999,160270.0,Multi-Utilities & Unregulated Power,Gas Utilities,Utilities,Utilities
AIZ-CTAS,AIZ,CTAS,71.70303620117443,0.15078206465420663,6.96,212123.0,Multi-line Insurance,Diversified Commercial Services,Financials,Industrials
CTAS-IFF,CTAS,IFF,71.70251631291671,0.24535343387634062,7.4400000000000004,164880.0,Diversified Commercial Services,Specialty Chemicals,Industrials,Materials
AIZ-TMK,AIZ,TMK,71.63674248762754,0.25208872711409253,8.1999999999999993,153397.0,Multi-line Insurance,Life & Health Insurance,Financials,Financials
ROP-VMC,ROP,VMC,71.54893346083196,0.18205810212990631,7.04,222548.0,Industrial Conglomerates,Construction Materials,Industrials,Materials
GWW-SJM,GWW,SJM,71.5236451946809,0.39994666304584947,7.4800000000000004,180537.0,Industrial Materials,Packaged Foods & Meats,Industrials,Consumer Staples
COL-GWW,COL,GWW,71.50498264052835,0.24340613096801608,7.1600000000000001,180537.0,Industrial Conglomerates,Industrial Materials,Industrials,Industrials
PLL-SIAL,PLL,SIAL,71.46617315300227,0.24900548031907957,7.3600000000000003,249591.0,Industrial Conglomerates,Diversified Chemicals,Industrials,Materials
GPC-TMK,GPC,TMK,71.45873912707152,0.22523580365211418,8.1999999999999993,0,Specialty Stores,Life & Health Insurance,Consumer Discretionary,Financials
AZO-CINF,AZO,CINF,71.38748488063354,0.13891668341364796,7.4000000000000004,90678.0,Specialty Stores,Property & Casualty Insurance,Consumer Discretionary,Financials
