symbol,symbol_1,symbol_2,adf_stat,adf_p,industry_1,industry_2,sector_1,sector_2
FTR-MJN,FTR,MJN,-4.164133610379451,0.0007573181270026421,Integrated Telecommunications Services,Packaged Foods & Meats,Telecommunications Services,Consumer Staples
MWV-SNI,MWV,SNI,-4.162131878669697,0.0007631986498096947,Paper Packaging,Broadcasting & Cable TV,Materials,Consumer Discretionary
PBI-PCP,PBI,PCP,-4.161899526250227,0.0007638840053573719,Data Processing Services,Industrial Conglomerates,Industrials,Industrials
KORS-SRE,KORS,SRE,-4.161699320227483,0.0007644750039969402,"Apparel, Accessories & Luxury Goods",Multi-Utilities & Unregulated Power,Consumer Discretionary,Utilities
PHM-PXD,PHM,PXD,-4.161478076956233,0.000765128602819512,Homebuilding,Oil & Gas Exploration & Production,Consumer Discretionary,Energy
CSX-DOV,CSX,DOV,-4.161129276104665,0.0007661600988430304,Railroads,Industrial Machinery,Industrials,Industrials
CTXS-LM,CTXS,LM,-4.160587660353475,0.0007677643868208106,Internet Software & Services,Diversified Financial Services,Information Technology,Financials
ETFC-USB,ETFC,USB,-4.159987187370938,0.0007695466979309162,Diversified Financial Services,Banks,Financials,Financials
APD-GRMN,APD,GRMN,-4.159232168007484,0.0007717932420599218,Industrial Gases,Consumer Electronics,Materials,Consumer Discretionary
CMG-RTN,CMG,RTN,-4.158897157695463,0.000772792028521468,Restaurants,Aerospace & Defense,Consumer Discretionary,Industrials
ALTR-TDC,ALTR,TDC,-4.158554755933092,0.0007738141050860286,Semiconductors,Application Software,Information Technology,Information Technology
APH-LSI,APH,LSI,-4.158433615429131,0.0007741760158195551,Electrical Components & Equipment,Semiconductors,Industrials,Information Technology
ORCL-STJ,ORCL,STJ,-4.157587716514547,0.0007767075943650325,Application Software,Health Care Equipment & Services,Information Technology,Health Care
CMCSA-TIF,CMCSA,TIF,-4.157223622224574,0.0007777996338570479,Broadcasting & Cable TV,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,Consumer Discretionary
MAT-PCAR,MAT,PCAR,-4.1571388928186614,0.0007780539720437279,Leisure Products,Construction & Farm Machinery & Heavy Trucks,Consumer Discretionary,Industrials
EBAY-RHT,EBAY,RHT,-4.157121580095743,0.0007781059504584962,Internet Software & Services,Systems Software,Information Technology,Information Technology
BA-SEE,BA,SEE,-4.156760358344344,0.0007791911990649,Aerospace & Defense,Paper Packaging,Industrials,Materials
ALL-ECL,ALL,ECL,-4.156682628789198,0.0007794249140986991,Property & Casualty Insurance,Specialty Chemicals,Financials,Materials
QEP-X,QEP,X,-4.156523256347015,0.0007799043164125486,Oil & Gas Exploration & Production,Steel,Energy,Materials
LUK-PCP,LUK,PCP,-4.156150583403143,0.0007810264203766784,Multi-Sector Holdings,Industrial Conglomerates,Financials,Industrials
CAT-DO,CAT,DO,-4.155416186351643,0.0007832420979132174,Construction & Farm Machinery & Heavy Trucks,Oil & Gas Drilling,Industrials,Energy
PAYX-QCOM,PAYX,QCOM,-4.155314255237822,0.0007835500900745376,Internet Software & Services,Semiconductors,Information Technology,Information Technology
BHI-TIF,BHI,TIF,-4.15529841767804,0.0007835979545960881,Oil & Gas Equipment & Services,"Apparel, Accessories & Luxury Goods",Energy,Consumer Discretionary
JCI-KMX,JCI,KMX,-4.1538660427575715,0.000787938264571932,Auto Parts & Equipment,Specialty Stores,Consumer Discretionary,Consumer Discretionary
CF-SWY,CF,SWY,-4.153740626605632,0.0007883193664223792,Fertilizers & Agricultural Chemicals,Food Retail,Materials,Consumer Staples
DO-SLB,DO,SLB,-4.153612124490709,0.0007887100249828968,Oil & Gas Drilling,Oil & Gas Equipment & Services,Energy,Energy
COP-DVA,COP,DVA,-4.153391129446312,0.0007893822956668616,Integrated Oil & Gas,Health Care Facilities,Energy,Health Care
MTB-RF,MTB,RF,-4.153246759573141,0.0007898217616041338,Banks,Diversified Financial Services,Financials,Financials
BTU-M,BTU,M,-4.1530618629236,0.0007903849274786132,Oil & Gas Exploration & Production,Department Stores,Energy,Consumer Discretionary
FIS-ORCL,FIS,ORCL,-4.151720336348463,0.0007944823034642422,Internet Software & Services,Application Software,Information Technology,Information Technology
ALTR-CSCO,ALTR,CSCO,-4.1508071000739495,0.0007972829603923173,Semiconductors,Networking Equipment,Information Technology,Information Technology
QCOM-QEP,QCOM,QEP,-4.150572213820473,0.0007980047913001957,Semiconductors,Oil & Gas Exploration & Production,Information Technology,Energy
MJN-MU,MJN,MU,-4.150366710521393,0.0007986368280611364,Packaged Foods & Meats,Semiconductors,Consumer Staples,Information Technology
CSX-ECL,CSX,ECL,-4.1503280427145715,0.0007987558055276815,Railroads,Specialty Chemicals,Industrials,Materials
IFF-LM,IFF,LM,-4.149509556675537,0.0008012781204501632,Specialty Chemicals,Diversified Financial Services,Materials,Financials
DTE-NI,DTE,NI,-4.149467408772435,0.0008014082090443581,Multi-Utilities & Unregulated Power,Multi-Utilities & Unregulated Power,Utilities,Utilities
A-TXT,A,TXT,-4.149418797387809,0.0008015582716404047,Health Care Equipment & Services,Industrial Conglomerates,Health Care,Industrials
CBS-CTAS,CBS,CTAS,-4.149415165232845,0.0008015694851052579,Broadcasting & Cable TV,Diversified Commercial Services,Consumer Discretionary,Industrials
