symbol,symbol_1,symbol_2,adf_stat,adf_p,industry_1,industry_2,sector_1,sector_2
RAI-WAG,RAI,WAG,-4.107227859555708,0.0009422214071599783,Tobacco,Drug Retail,Consumer Staples,Consumer Staples
EQT-TSCO,EQT,TSCO,-4.106964026611357,0.0009431696496768737,Oil & Gas Exploration & Production,Specialty Retail,Energy,Consumer Discretionary
FDX-FIS,FDX,FIS,-4.1063718287641295,0.0009453013238534185,Air Freight & Logistics,Internet Software & Services,Industrials,Information Technology
ESV-QEP,ESV,QEP,-4.106257054576445,0.0009457149862972875,Oil & Gas Drilling,Oil & Gas Exploration & Production,Energy,Energy
EMN-EMR,EMN,EMR,-4.105152833142238,0.0009497034251856146,Diversified Chemicals,Industrial Conglomerates,Materials,Industrials
AMP-JPM,AMP,JPM,-4.104272513566361,0.0009528944088146287,Diversified Financial Services,Banks,Financials,Financials
FIS-IFF,FIS,IFF,-4.104208820676704,0.0009531256718561433,Internet Software & Services,Specialty Chemicals,Information Technology,Materials
DTE-POM,DTE,POM,-4.104049124398537,0.0009537057454567551,Multi-Utilities & Unregulated Power,Multi-Utilities & Unregulated Power,Utilities,Utilities
CBS-FFIV,CBS,FFIV,-4.103956042027799,0.0009540440061356527,Broadcasting & Cable TV,Networking Equipment,Consumer Discretionary,Information Technology
PPG-TXT,PPG,TXT,-4.103947080016736,0.0009540765799476645,Diversified Chemicals,Industrial Conglomerates,Materials,Industrials
AVP-ETN,AVP,ETN,-4.103362261221259,0.0009562044463307766,Personal Products,Industrial Conglomerates,Consumer Staples,Industrials
EXPE-LNC,EXPE,LNC,-4.103285827416008,0.0009564828791965795,"Hotels, Resorts & Cruise Lines",Multi-line Insurance,Consumer Discretionary,Financials
DVN-MKC,DVN,MKC,-4.103254031479255,0.000956598727704549,Oil & Gas Exploration & Production,Packaged Foods & Meats,Energy,Consumer Staples
AVP-BA,AVP,BA,-4.102963323456165,0.0009576585317478557,Personal Products,Aerospace & Defense,Consumer Staples,Industrials
LB-MUR,LB,MUR,-4.102887288554738,0.0009579359055765917,Apparel Retail,Integrated Oil & Gas,Consumer Discretionary,Energy
NE-RDC,NE,RDC,-4.10279706846197,0.0009582651242681018,Oil & Gas Drilling,Oil & Gas Drilling,Energy,Energy
ADT-LOW,ADT,LOW,-4.101740426973886,0.000962128767032262,Diversified Commercial Services,Home Improvement Retail,Industrials,Consumer Discretionary
JNJ-MWV,JNJ,MWV,-4.100826342563617,0.0009654829045342571,Health Care Equipment & Services,Paper Packaging,Health Care,Materials
AES-KRFT,AES,KRFT,-4.100709501898583,0.0009659124272672396,Electric Utilities,Packaged Foods & Meats,Utilities,Consumer Staples
EXPD-MJN,EXPD,MJN,-4.1004307675795,0.0009669378162875408,Air Freight & Logistics,Packaged Foods & Meats,Industrials,Consumer Staples
BWA-TSCO,BWA,TSCO,-4.099998311561702,0.0009685307232694853,Auto Parts & Equipment,Specialty Retail,Consumer Discretionary,Consumer Discretionary
DD-FLR,DD,FLR,-4.099380433770712,0.0009708108742719574,Diversified Chemicals,Diversified Commercial Services,Materials,Industrials
FDX-FTR,FDX,FTR,-4.099108035823499,0.0009718176978718738,Air Freight & Logistics,Integrated Telecommunications Services,Industrials,Telecommunications Services
DTE-KORS,DTE,KORS,-4.098749288604552,0.0009731451724895004,Multi-Utilities & Unregulated Power,"Apparel, Accessories & Luxury Goods",Utilities,Consumer Discretionary
AON-SLB,AON,SLB,-4.098664421392483,0.0009734594553144778,Insurance Brokers,Oil & Gas Equipment & Services,Financials,Energy
CBS-SYY,CBS,SYY,-4.0985172102581355,0.0009740048373601832,Broadcasting & Cable TV,Food Distributors,Consumer Discretionary,Consumer Staples
EQT-KRFT,EQT,KRFT,-4.097900754285419,0.000976291767003809,Oil & Gas Exploration & Production,Packaged Foods & Meats,Energy,Consumer Staples
DRI-PEP,DRI,PEP,-4.09784612734404,0.0009764946643599625,Restaurants,Soft Drinks,Consumer Discretionary,Consumer Staples
PBI-UTX,PBI,UTX,-4.097401452657482,0.0009781477598881632,Data Processing Services,Industrial Conglomerates,Industrials,Industrials
CRM-MJN,CRM,MJN,-4.097172519857003,0.000978999847478288,Internet Software & Services,Packaged Foods & Meats,Information Technology,Consumer Staples
BTU-SEE,BTU,SEE,-4.097048821725423,0.0009794605408021703,Oil & Gas Exploration & Production,Paper Packaging,Energy,Materials
SWK-UTX,SWK,UTX,-4.0969034499011885,0.0009800022135542535,Household Appliances,Industrial Conglomerates,Consumer Discretionary,Industrials
JNJ-PCAR,JNJ,PCAR,-4.096584805385836,0.00098119050191061,Health Care Equipment & Services,Construction & Farm Machinery & Heavy Trucks,Health Care,Industrials
MOS-PBI,MOS,PBI,-4.096551804897558,0.0009813136442786783,Fertilizers & Agricultural Chemicals,Data Processing Services,Materials,Industrials
CPB-KRFT,CPB,KRFT,-4.09642045174159,0.0009818039361164503,Packaged Foods & Meats,Packaged Foods & Meats,Consumer Staples,Consumer Staples
LNC-SLB,LNC,SLB,-4.096380626414604,0.000981952634340723,Multi-line Insurance,Oil & Gas Equipment & Services,Financials,Energy
NLSN-NWL,NLSN,NWL,-4.096336249032125,0.0009821183536764932,Research & Consulting Services,Housewares & Specialties,Industrials,Consumer Discretionary
ADSK-QEP,ADSK,QEP,-4.095843211036185,0.000983961276805488,Application Software,Oil & Gas Exploration & Production,Information Technology,Energy
RHT-TIF,RHT,TIF,-4.095535979166389,0.0009851113127089285,Systems Software,"Apparel, Accessories & Luxury Goods",Information Technology,Consumer Discretionary
ADSK-ORCL,ADSK,ORCL,-4.09538655629816,0.0009856710896366037,Application Software,Application Software,Information Technology,Information Technology
CCI-FLIR,CCI,FLIR,-4.094983724127924,0.0009871816870438185,Wireless Telecommunications Services,Aerospace & Defense,Telecommunications Services,Industrials
PBCT-RF,PBCT,RF,-4.094964337684619,0.0009872544396989686,Banks,Diversified Financial Services,Financials,Financials
EA-ECL,EA,ECL,-4.094649797008708,0.0009884355364668102,Application Software,Specialty Chemicals,Information Technology,Materials
DLPH-SYY,DLPH,SYY,-4.093703728251883,0.0009919959886344576,Auto Parts & Equipment,Food Distributors,Consumer Discretionary,Consumer Staples
COL-LOW,COL,LOW,-4.093607055031576,0.0009923604853955686,Industrial Conglomerates,Home Improvement Retail,Industrials,Consumer Discretionary
DLTR-MJN,DLTR,MJN,-4.092554602825193,0.0009963367687801537,General Merchandise Stores,Packaged Foods & Meats,Consumer Discretionary,Consumer Staples
CMI-TRV,CMI,TRV,-4.092444107572093,0.0009967550959609456,Industrial Machinery,Property & Casualty Insurance,Industrials,Financials
FDX-UNP,FDX,UNP,-4.090837930362239,0.001002854555872014,Air Freight & Logistics,Railroads,Industrials,Industrials
QEP-SNDK,QEP,SNDK,-4.090734972868668,0.0010032467256450247,Oil & Gas Exploration & Production,Computer Storage & Peripherals,Energy,Information Technology
KORS-MO,KORS,MO,-4.0903887541437305,0.0010045665412577796,"Apparel, Accessories & Luxury Goods",Tobacco,Consumer Discretionary,Consumer Staples
MTB-NTRS,MTB,NTRS,-4.090354184009246,0.0010046984147497682,Banks,Diversified Financial Services,Financials,Financials
CFN-FISV,CFN,FISV,-4.0897771177768645,0.001006902122358777,Health Care Equipment & Services,Internet Software & Services,Health Care,Information Technology
JNJ-KLAC,JNJ,KLAC,-4.088811873298122,0.001010598320775761,Health Care Equipment & Services,Semiconductor Equipment,Health Care,Information Technology
DTV-MJN,DTV,MJN,-4.0882403691006655,0.0010127927531767408,Broadcasting & Cable TV,Packaged Foods & Meats,Consumer Discretionary,Consumer Staples
BRK.B-DRI,BRK.B,DRI,-4.088228623847319,0.0010128378987078236,Multi-Sector Holdings,Restaurants,Financials,Consumer Discretionary
KMX-LO,KMX,LO,-4.086794992988614,0.0010183625428828414,Specialty Stores,Tobacco,Consumer Discretionary,Consumer Staples
ADBE-FLIR,ADBE,FLIR,-4.086786303037164,0.0010183961162936672,Application Software,Aerospace & Defense,Information Technology,Industrials
CL-MKC,CL,MKC,-4.086446432772245,0.0010197100090045116,Household Products,Packaged Foods & Meats,Consumer Staples,Consumer Staples
AVP-EBAY,AVP,EBAY,-4.085178222116989,0.0010246267510515682,Personal Products,Internet Software & Services,Consumer Staples,Information Technology
DHR-QEP,DHR,QEP,-4.0845591537662544,0.0010270348708830191,Industrial Machinery,Oil & Gas Exploration & Production,Industrials,Energy
CAM-DLPH,CAM,DLPH,-4.084453106819888,0.0010274479145928384,Oil & Gas Equipment & Services,Auto Parts & Equipment,Energy,Consumer Discretionary
ATI-MON,ATI,MON,-4.084403770966539,0.001027640126436567,Diversified Metals & Mining,Fertilizers & Agricultural Chemicals,Materials,Materials
EMN-KMX,EMN,KMX,-4.08367157893218,0.0010304966933794401,Diversified Chemicals,Specialty Stores,Materials,Consumer Discretionary
